,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.61,-37.64,30.2,42,0,3.36,GL,1604373582
1,Qaanaaq,77.48,-69.36,9.45,81,100,5.32,GL,1604373583
2,Namatanai,-3.67,152.43,84.06,73,73,4.7,PG,1604373584
3,Ostrovnoy,68.05,39.51,42.21,82,100,29.71,RU,1604373331
4,Yulara,-25.24,130.99,96.8,12,0,12.75,AU,1604373586
5,New Norfolk,-42.78,147.06,90.0,19,87,4.0,AU,1604373366
6,Kaitangata,-46.28,169.85,62.01,69,0,8.01,NZ,1604373527
7,Atuona,-9.8,-139.03,77.81,74,3,17.11,PF,1604373590
8,Andenes,69.31,16.12,46.4,87,100,26.4,NO,1604373591
9,Lebu,-37.62,-73.65,50.49,93,18,10.13,CL,1604373592
10,Yeppoon,-23.13,150.73,82.4,51,75,10.29,AU,1604373593
11,Albany,42.6,-73.97,37.99,69,98,3.0,US,1604373594
12,Bluff,-46.6,168.33,63.0,60,0,8.99,NZ,1604373367
13,Constitución,-35.33,-72.42,51.73,90,63,8.7,CL,1604373596
14,Mar del Plata,-38.0,-57.56,60.01,93,0,6.93,AR,1604373518
15,Marabu,4.41,114.01,86.0,70,20,5.82,MY,1604373599
16,Saint-Augustin,51.23,-58.65,42.15,70,91,38.74,CA,1604373600
17,Codrington,-38.27,141.97,78.67,65,100,16.87,AU,1604373601
18,Punta Arenas,-53.15,-70.92,46.4,65,0,4.7,CL,1604373351
19,Cidreira,-30.18,-50.21,61.9,76,10,6.64,BR,1604373589
20,Kara,9.55,1.19,69.8,64,87,3.2,TG,1604373604
21,Ribeira Grande,38.52,-28.7,62.28,65,80,15.08,PT,1604373605
22,Villarrobledo,39.27,-2.6,50.0,67,0,1.99,ES,1604373606
23,Rikitea,-23.12,-134.97,71.85,79,23,17.18,PF,1604373365
24,Vaini,-21.2,-175.2,78.8,83,75,10.29,TO,1604373608
25,Acapulco de Juárez,16.86,-99.89,82.4,88,20,9.17,MX,1604373346
26,Arrondissement de Bourg-en-Bresse,46.17,5.17,54.0,94,95,3.0,FR,1604373610
27,Cabo San Lucas,22.89,-109.91,78.8,74,20,2.86,MX,1604373544
28,Zigong,29.34,104.78,56.59,87,100,1.21,CN,1604373613
29,Port Blair,11.67,92.75,83.39,73,24,7.43,IN,1604373614
30,George Town,5.41,100.34,82.4,78,20,2.24,MY,1604373615
31,Yinchuan,38.47,106.27,46.11,44,0,3.24,CN,1604373616
32,Kapaa,22.08,-159.32,82.4,74,75,8.05,US,1604373617
33,Tuatapere,-46.13,167.68,62.01,60,1,11.01,NZ,1604373618
34,São João da Barra,-21.64,-41.05,66.87,68,31,8.01,BR,1604373619
35,Busselton,-33.65,115.33,62.01,78,74,4.0,AU,1604373343
36,Bairnsdale,-37.83,147.62,78.01,57,13,5.99,AU,1604373621
37,Manggar,-2.88,108.27,82.63,75,100,3.62,ID,1604373622
38,Saint-Philippe,-21.36,55.77,69.8,56,90,4.7,RE,1604373623
39,Havelock,34.88,-76.9,45.0,62,1,3.36,US,1604373624
40,Nioro,13.35,-15.75,76.35,50,40,3.69,GM,1604373485
41,Tiksi,71.69,128.87,5.0,93,100,2.42,RU,1604373627
42,Port Alfred,-33.59,26.89,65.28,87,5,16.6,ZA,1604373338
43,Dikson,73.51,80.55,13.32,94,97,10.4,RU,1604373629
44,Los Llanos de Aridane,28.66,-17.92,71.6,73,0,13.87,ES,1604373630
45,Touros,-5.2,-35.46,77.0,88,40,4.7,BR,1604373631
46,Port Augusta,-32.5,137.77,95.0,15,1,23.04,AU,1604373632
47,Necoclí,8.42,-76.79,78.82,79,53,10.27,CO,1604373365
48,Heréd,47.71,19.63,52.0,100,75,1.12,HU,1604373634
49,Nanortalik,60.14,-45.24,37.62,78,99,14.2,GL,1604373635
50,Mehamn,71.04,27.85,43.23,86,61,21.77,NO,1604373636
